Codigo;Descricao;Unidade;Saldo
6998641;ELEMENTO FILTRANTE AM-EL70D / MURATA;UN;0
6991435;ELETRODUTO PVC LEVE LISO 3/4 CZ MASSTER;UNI;0
6994940;ENGATE FLEXIVEL 1/2POL 60CM;UNI;0
6994670;ENGATE RAPIDO FM 1/4POL X 1/4POL ROLETE;UN;0
7609476;ESCOVA CARVAO ESMERIL RETO DW882 381028-07;UN;0
6993657;ESCOVA CARVAO P/MAQUINAS CABOS;UNI;0
7602706;ESPIGAO LATAO 1/2 X 1/4 MACHO;UN;0
7601710;ESPUMA EXPANSIVA QUARTZOLIT;UN;2
7601842;ESPUMA FILTRAL CZ 2000X1300X5MM;UN;0
7609027;EXAUSTOR INDUSTRIAL 300X200X300MM 220V;UN;0
6998031;FECHADURA TUBULAR 90MM PRETA;UNI;0
6998584;FILTRO AR COALECENTES;UN;0
7603768;FILTRO COMBUST C/SEPARADOR AGUA FS1007;UN;0
6991582;FILTRO SANFONADO P/ASPIRADOR IPC AA280;UN;2
6992554;FITA ISOLANTE 23BR AUTOFUSAO;UNI;0
6994051;FLUIDO FREIO 500ML;ML;0
6995563;FONTE ALIMENTACAO 600W 48V 12.5A;UN;0
7603291;FONTE CHAVEADA 24V;UN;3
6993386;FORRO ISOPOR TEXTURIZADO 1250X625X20MM;UNI;0
7601860;FRASCO PLASTICO 60ML C/ TP ROSCA/VEDANTE;UNI;0
6996483;GRAMPO 3/16 POL P/CABO ACO;UN;0
7603156;GRAXA ALTA TEMPE. AUTOMOTIVA UNILIT BLUE 500G INGRAX;KG;0
7606409;GRAXA AZUL LITIO 500G;GR;0
7605064;GRAXA EP 000 900G (YAWEI);GR;1
7605075;GRAXA KARTER K007 900GR (YAWEI);GR;1
6994762;GRAXA MOBIL SHC POLYREX 462 16KG;GR;0
7603546;GUIA TRILHO LINEAR P/PATINSHIWIN HGR;UNI;0
6991837;INTERRUPTOR 1TS IP44 PIAL 10A CZ AQUATIC;UNI;0
7608736;INTERRUPTOR 6506913 PARAFUSADEIRA MAKITA;UN;0
7608162;INTERRUPTOR CS-TOUCH CSS60A-LR;UN;3
7601468;INTERRUPTOR P/ ESMERILHADEIRA;UNI;0
7607333;INTERRUPTOR P/LIXADEIRA GEX 125-1 AE;UNI;0
6991974;JOELHO PPR P/TERMOFUSAO 90° 32MM;UNI;0
6991481;JOELHO PVC 90 GRAUS 20MM;UN;0
6991430;JOELHO PVC C/JANELA 3/4 CINZA MASSTER;UNI;0
7607617;JUNCAO 45Gº PVC 75MM;UNI;0
7609102;JUNTA CAMARA TRASEIRA BUNA-N P1510;UN;0
6996127;LAMPADA LED 65W 6500K T8-G13 TUB 240CM;UNI;0
6995357;LAMPADA LED 9W 3000K AM MORNA;UNI;0
7601605;LAMPADA LED BULBO 150W E40 6500K LUZ BR;UNI;0
6995286;LAMPADA LED BULBO 40W 6500K BR E27;UNI;0
7606399;LAMPADA LED TUBULAR 20W 120CM;UNI;0
6992077;LAMPADA TUBULAR LED 18W T8 6500K;UNI;0
7606393;LAMPADA TUBULAR LED T8 TUBULAR 9W 60CM;UNI;0
7600221;LANTERNA DE CABECA;UN;0
7603843;LIQ ARREFECIMENTO FLEETGUARD 18,9L;L;0
6993446;LUMINARIA SOBREP 120CM ALETAS AL LAMP T8;UNI;0
